time,type
00:00:00,close
00:00:05,close
00:00:10,close
00:00:15,close
00:00:20,close
00:00:25,close
00:00:30,close
00:00:35,close
00:00:40,close
00:00:45,close
00:00:50,close
00:00:55,close
00:01:00,close
00:01:05,close
00:01:10,close
00:01:15,moderate
00:01:20,loose
00:01:25,loose
00:01:30,loose
00:01:35,loose
00:01:40,close
00:01:45,close
00:01:50,close
00:01:55,close
00:02:00,close
00:02:05,close
00:02:10,close
00:02:15,close
00:02:20,close
00:02:25,close
00:02:30,close
00:02:35,close
00:02:40,close
00:02:45,close
00:02:50,close
00:02:55,close
00:03:00,close
00:03:05,close
00:03:10,close
00:03:15,close
00:03:20,close
00:03:25,close
00:03:30,close
00:03:35,close
00:03:40,close
00:03:45,close
00:03:50,close
00:03:55,close
00:04:00,close
00:04:05,close
00:04:10,close
00:04:15,close
00:04:20,close
00:04:25,close
00:04:30,close
00:04:35,close
00:04:40,close
00:04:45,close
00:04:50,close
00:04:55,close
00:05:00,close
00:05:05,close
00:05:10,close
00:05:15,close
00:05:20,close
00:05:25,close
00:05:30,close
00:05:35,close
00:05:40,close
00:05:45,close
00:06:05,close
00:06:10,close
00:06:15,close
00:06:20,close
00:06:25,close
00:06:30,close
00:06:35,moderate
00:06:40,moderate
00:06:45,moderate
00:06:50,close
00:06:55,close
00:07:00,close
00:07:05,close
00:07:10,close
00:07:15,close
00:07:20,close
00:07:25,close
00:07:30,close
00:07:35,close
00:07:40,close
00:07:45,close
00:07:50,close
00:07:55,moderate
00:08:00,moderate
00:08:05,moderate
00:08:10,moderate
00:08:15,moderate
00:08:20,moderate
00:08:25,moderate
00:08:30,moderate
00:08:35,moderate
00:08:40,moderate
00:08:45,moderate
00:08:50,moderate
00:08:55,moderate
00:09:00,moderate
00:09:05,moderate
00:09:10,moderate
00:09:15,moderate
00:09:20,moderate
00:09:25,moderate
00:09:30,moderate
00:09:35,loose
00:09:40,loose
00:09:45,loose
00:09:50,loose
00:09:55,loose
00:10:00,close
00:10:05,close
00:10:10,close
00:10:15,close
00:10:20,close
00:10:25,close
00:10:30,close
00:10:35,close
00:10:40,close
00:10:45,close
00:10:50,close
00:10:55,moderate
00:11:00,moderate
00:11:05,moderate
00:11:10,moderate
00:11:20,loose
00:11:25,loose
00:11:30,loose
00:11:35,loose
00:11:40,loose
00:11:45,loose
00:11:50,loose
00:11:55,loose
00:12:00,loose
00:12:05,moderate
00:12:10,moderate
00:12:15,moderate
00:12:20,moderate
00:12:25,moderate
00:12:30,close
00:12:35,close
00:12:40,close
00:12:45,close
00:12:50,close
00:12:55,close
00:13:00,close
00:13:05,close
00:13:10,close
00:13:15,close
00:13:20,close
00:13:25,close
00:13:30,close
00:13:35,close
00:13:40,close
00:13:45,moderate
00:13:50,moderate
00:13:55,moderate
00:14:00,moderate
00:14:15,close
00:14:20,close
00:14:25,close
00:14:30,close
00:14:35,close
00:14:40,close
00:14:45,close
00:14:50,close
00:14:55,close
00:15:00,close
00:15:05,close
00:15:10,close
00:15:15,close
00:15:20,moderate
00:15:25,moderate
00:15:30,moderate
00:15:35,moderate
00:15:40,moderate
00:15:45,moderate
00:15:50,moderate
00:15:55,moderate
00:16:00,moderate
00:16:05,moderate
00:16:10,moderate
00:16:15,moderate
00:16:20,moderate
00:16:25,moderate
00:16:30,moderate
00:16:35,moderate
00:16:40,moderate
00:16:45,moderate
00:16:50,moderate
00:16:55,moderate
00:17:00,moderate
00:17:05,moderate
00:17:10,close
00:17:15,close
00:17:20,close
00:17:25,close
00:17:30,close
00:17:35,close
00:17:40,moderate
00:17:45,moderate
00:17:50,moderate
00:17:55,moderate
00:18:00,moderate
00:18:05,close
00:18:10,close
00:18:15,close
00:18:20,close
00:18:25,close
00:18:30,close
00:18:35,close
00:18:40,close
00:18:45,close
00:18:50,close
00:18:55,close
00:19:00,close
00:19:05,close
00:19:10,close
00:19:15,close
00:19:20,close
00:19:25,close
00:19:30,close
00:19:35,close
00:19:40,close
00:19:45,close
00:19:50,moderate
00:19:55,moderate
00:20:00,moderate
00:20:05,moderate
00:20:10,moderate
00:20:15,moderate
00:20:20,moderate
00:20:25,moderate
00:20:30,moderate
00:20:35,moderate
00:20:40,moderate
00:20:45,moderate
00:20:50,moderate
00:20:55,loose
00:21:00,loose
00:21:05,loose
00:21:10,moderate
00:21:15,moderate
00:21:20,moderate
00:21:25,moderate
00:21:30,moderate
00:21:35,moderate
00:21:40,moderate
00:21:45,moderate
00:21:50,moderate
00:21:55,close
00:22:00,moderate
00:22:05,moderate
00:22:10,moderate
00:22:15,moderate
00:22:20,moderate
00:22:25,moderate
00:22:30,moderate
00:22:35,moderate
00:22:40,loose
00:22:45,loose
00:22:50,loose
00:22:55,loose
00:23:00,close
00:23:05,close
00:23:10,close
00:23:15,close
00:23:20,close
00:23:25,close
00:23:30,close
00:23:35,close
00:23:40,close
00:23:45,close
00:23:50,close
00:23:55,close
00:24:00,close
00:24:05,close
00:24:10,close
00:24:15,close
00:24:20,close
00:24:25,close
00:24:30,close
00:24:35,close
00:24:40,close
00:24:45,close
00:24:50,close
00:24:55,close
00:25:00,close
00:25:15,moderate
00:25:20,moderate
00:25:25,moderate
00:25:30,moderate
00:25:35,moderate
00:25:40,moderate
00:25:45,moderate
00:25:50,moderate
00:25:55,moderate
00:26:00,moderate
00:26:05,close
00:26:10,close
00:26:15,close
00:26:20,close
00:26:25,close
00:26:30,close
00:26:35,close
00:26:40,close
00:26:45,close
00:26:50,close
00:26:55,close
00:27:00,close
00:27:05,close
00:27:10,close
00:27:15,close
00:27:20,close
00:27:25,close
00:27:30,close
00:27:35,close
00:27:40,close
00:27:45,close
00:27:50,close
00:27:55,close
00:28:00,close
00:28:05,close
00:28:10,close
00:28:15,close
00:28:20,close
00:28:25,close
00:28:30,close
00:28:35,close
00:28:40,close
