time,type
00:14:50,HoloLens
00:14:55,HoloLens
00:15:00,HoloLens
00:15:05,HoloLens
00:15:10,HoloLens
00:15:15,HoloLens
00:15:20,HoloLens
00:15:25,HoloLens
00:15:30,HoloLens
00:15:35,HoloLens
00:15:40,HoloLens
00:15:45,HoloLens
00:15:50,HoloLens
00:15:55,HoloLens
00:16:00,HoloLens
00:16:05,HoloLens
00:16:10,HoloLens
00:16:15,HoloLens
00:16:20,HoloLens
00:16:25,HoloLens
00:16:30,HoloLens
00:16:35,HoloLens
00:16:40,HoloLens
00:16:45,HoloLens
00:16:50,HoloLens
00:16:55,HoloLens
00:39:05,HoloLens
00:39:10,HoloLens
00:39:15,HoloLens
00:39:20,HoloLens
00:39:25,HoloLens
00:39:30,HoloLens
00:39:35,HoloLens
00:39:40,HoloLens
00:39:45,HoloLens
00:39:50,HoloLens
00:39:55,HoloLens
00:40:00,HoloLens
00:40:05,HoloLens
00:40:10,HoloLens
00:40:15,HoloLens
00:40:20,HoloLens
00:40:25,HoloLens
00:40:35,HoloLens
00:40:40,HoloLens
00:40:45,HoloLens
00:40:50,HoloLens
00:40:55,HoloLens
00:41:00,HoloLens
00:41:40,HoloLens
00:41:45,HoloLens
00:41:50,HoloLens
00:41:55,HoloLens
00:42:00,HoloLens
00:42:05,HoloLens
00:42:10,HoloLens
00:42:15,HoloLens
00:42:20,HoloLens
00:42:25,HoloLens
00:42:30,HoloLens
00:42:35,HoloLens
00:42:55,HoloLens
00:43:00,HoloLens
00:43:05,HoloLens
00:43:10,HoloLens
00:43:15,HoloLens
00:43:20,HoloLens
00:43:25,HoloLens
00:43:30,HoloLens
00:43:35,HoloLens
00:43:40,HoloLens
00:43:45,HoloLens
00:43:50,HoloLens
00:43:55,HoloLens
00:44:00,HoloLens
00:01:35,tablet B
00:01:40,tablet B
00:01:45,tablet B
00:01:50,tablet B
00:01:55,tablet B
00:02:00,tablet B
00:02:05,tablet B
00:02:10,tablet B
00:02:15,tablet B
00:02:20,tablet B
00:02:25,tablet B
00:02:30,tablet B
00:02:50,tablet B
00:02:55,tablet B
00:03:10,tablet B
00:03:15,tablet B
00:03:20,tablet B
00:03:25,tablet B
00:03:40,tablet B
00:03:45,tablet B
00:03:50,tablet B
00:03:55,tablet B
00:04:00,tablet B
00:04:55,tablet B
00:05:00,tablet B
00:05:05,tablet B
00:05:10,tablet B
00:05:25,tablet B
00:05:30,tablet B
00:05:35,tablet B
00:05:40,tablet B
00:05:45,tablet B
00:05:55,tablet B
00:06:00,tablet B
00:06:05,tablet B
00:06:10,tablet B
00:06:15,tablet B
00:06:20,tablet B
00:06:25,tablet B
00:06:30,tablet B
00:06:35,tablet B
00:06:40,tablet B
00:06:45,tablet B
00:06:50,tablet B
00:06:55,tablet B
00:07:00,tablet B
00:07:05,tablet B
00:07:40,tablet B
00:07:45,tablet B
00:07:50,tablet B
00:07:55,tablet B
00:08:00,tablet B
00:08:05,tablet B
00:08:35,tablet B
00:08:40,tablet B
00:08:45,tablet B
00:08:50,tablet B
00:08:55,tablet B
00:09:00,tablet B
00:09:05,tablet B
00:10:05,tablet B
00:10:10,tablet B
00:10:15,tablet B
00:10:20,tablet B
00:10:25,tablet B
00:10:30,tablet B
00:10:35,tablet B
00:11:30,tablet B
00:12:40,tablet B
00:12:45,tablet B
00:12:50,tablet B
00:12:55,tablet B
00:13:00,tablet B
00:13:05,tablet B
00:13:20,tablet B
00:13:25,tablet B
00:13:30,tablet B
00:13:35,tablet B
00:13:40,tablet B
00:13:45,tablet B
00:13:50,tablet B
00:01:35,tablet A
00:01:40,tablet A
00:01:45,tablet A
00:01:50,tablet A
00:01:55,tablet A
00:02:00,tablet A
00:02:05,tablet A
00:02:10,tablet A
00:02:15,tablet A
00:02:20,tablet A
00:02:35,tablet A
00:02:40,tablet A
00:02:45,tablet A
00:03:10,tablet A
00:03:15,tablet A
00:03:20,tablet A
00:03:25,tablet A
00:03:30,tablet A
00:03:35,tablet A
00:03:40,tablet A
00:03:45,tablet A
00:03:50,tablet A
00:03:55,tablet A
00:04:00,tablet A
00:04:55,tablet A
00:05:00,tablet A
00:05:05,tablet A
00:05:10,tablet A
00:05:25,tablet A
00:05:30,tablet A
00:05:35,tablet A
00:05:40,tablet A
00:05:45,tablet A
00:05:55,tablet A
00:07:10,tablet A
00:07:15,tablet A
00:07:20,tablet A
00:07:25,tablet A
00:07:30,tablet A
00:07:35,tablet A
00:07:40,tablet A
00:07:45,tablet A
00:07:50,tablet A
00:07:55,tablet A
00:08:00,tablet A
00:08:05,tablet A
00:08:35,tablet A
00:08:40,tablet A
00:08:45,tablet A
00:08:50,tablet A
00:13:20,tablet A
00:13:25,tablet A
00:13:30,tablet A
00:13:35,tablet A
00:13:40,tablet A
00:13:45,tablet A
00:13:50,tablet A
00:14:40,tablet A
00:14:45,tablet A
00:15:15,tablet A
00:15:20,tablet A
00:15:25,tablet A
00:15:30,tablet A
00:15:35,tablet A
00:15:40,tablet A
00:15:45,tablet A
00:15:50,tablet A
00:15:55,tablet A
00:16:05,tablet A
00:16:10,tablet A
00:16:15,tablet A
00:16:20,tablet A
00:16:25,tablet A
00:16:30,tablet A
00:16:35,tablet A
00:16:40,tablet A
00:16:45,tablet A
00:16:50,tablet A
00:16:55,tablet A
00:17:45,tablet A
00:17:50,tablet A
00:17:55,tablet A
00:18:00,tablet A
00:18:05,tablet A
00:18:10,tablet A
00:20:05,tablet A
00:20:10,tablet A
00:20:15,tablet A
00:20:25,tablet A
00:20:30,tablet A
00:20:35,tablet A
00:20:40,tablet A
00:22:25,tablet A
00:22:30,tablet A
00:22:35,tablet A
00:22:40,tablet A
00:22:45,tablet A
00:22:50,tablet A
00:22:55,tablet A
00:23:00,tablet A
00:23:05,tablet A
00:23:10,tablet A
00:23:15,tablet A
00:23:20,tablet A
00:23:25,tablet A
00:23:30,tablet A
00:23:35,tablet A
00:23:40,tablet A
00:23:45,tablet A
00:23:50,tablet A
00:23:55,tablet A
00:24:00,tablet A
00:24:25,tablet A
00:24:30,tablet A
00:24:35,tablet A
00:24:40,tablet A
00:24:45,tablet A
00:24:50,tablet A
00:24:55,tablet A
00:25:00,tablet A
00:25:05,tablet A
00:25:10,tablet A
00:29:05,tablet A
00:29:10,tablet A
00:29:15,tablet A
00:29:20,tablet A
00:29:25,tablet A
00:29:30,tablet A
00:29:35,tablet A
00:29:55,tablet A
00:30:00,tablet A
00:30:05,tablet A
00:30:10,tablet A
00:30:15,tablet A
00:30:20,tablet A
00:30:25,tablet A
00:30:40,tablet A
00:30:45,tablet A
00:30:50,tablet A
00:30:55,tablet A
00:32:10,tablet A
00:32:15,tablet A
00:32:45,tablet A
00:32:50,tablet A
00:32:55,tablet A
00:33:00,tablet A
00:33:05,tablet A
00:33:10,tablet A
00:33:15,tablet A
00:33:20,tablet A
00:33:25,tablet A
00:33:30,tablet A
00:33:35,tablet A
00:33:40,tablet A
00:33:45,tablet A
00:33:50,tablet A
00:33:55,tablet A
00:34:00,tablet A
00:34:05,tablet A
00:34:10,tablet A
00:34:15,tablet A
00:34:20,tablet A
00:35:30,tablet A
00:35:35,tablet A
00:35:40,tablet A
00:35:45,tablet A
00:35:50,tablet A
00:35:55,tablet A
00:36:00,tablet A
00:36:05,tablet A
00:36:10,tablet A
00:36:15,tablet A
00:36:20,tablet A
00:37:25,tablet A
00:37:30,tablet A
00:37:35,tablet A
00:37:40,tablet A
00:37:45,tablet A
00:37:50,tablet A
00:37:55,tablet A
00:38:00,tablet A
00:38:05,tablet A
00:38:10,tablet A
00:38:15,tablet A
00:38:20,tablet A
00:38:25,tablet A
00:38:30,tablet A
00:38:35,tablet A
00:38:40,tablet A
00:38:45,tablet A
00:38:50,tablet A
00:38:55,tablet A
00:39:00,tablet A
00:39:05,tablet A
00:39:10,tablet A
00:39:15,tablet A
00:39:20,tablet A
00:39:25,tablet A
00:39:30,tablet A
00:39:35,tablet A
00:40:20,tablet A
00:40:25,tablet A
00:41:40,tablet A
00:41:45,tablet A
00:41:50,tablet A
00:41:55,tablet A
00:42:00,tablet A
00:42:05,tablet A
00:42:10,tablet A
00:42:15,tablet A
00:43:10,tablet A
00:43:15,tablet A
00:43:20,tablet A
00:43:25,tablet A
00:43:30,tablet A
00:43:35,tablet A
00:43:40,tablet A
00:43:45,tablet A
00:43:50,tablet A
00:43:55,tablet A
00:44:00,tablet A
00:44:05,tablet A
00:44:10,tablet A
00:44:15,tablet A
00:44:20,tablet A
00:44:25,tablet A
00:44:30,tablet A
00:44:35,tablet A
00:44:40,tablet A
00:44:45,tablet A
00:44:50,tablet A
00:44:55,tablet A
00:45:00,tablet A
00:45:05,tablet A
00:45:10,tablet A
00:45:15,tablet A
00:45:20,tablet A
00:45:25,tablet A
00:45:30,tablet A
00:45:35,tablet A
00:45:40,tablet A
00:45:45,tablet A
00:45:50,tablet A
00:45:55,tablet A
00:46:00,tablet A
00:46:05,tablet A
00:46:10,tablet A
00:46:15,tablet A
00:46:20,tablet A
00:46:25,tablet A
00:46:30,tablet A
00:46:35,tablet A
00:46:40,tablet A
00:46:45,tablet A
00:46:50,tablet A
00:46:55,tablet A
00:47:00,tablet A
00:47:05,tablet A
00:47:10,tablet A
00:47:15,tablet A
00:47:20,tablet A
00:47:25,tablet A
00:47:30,tablet A
00:47:35,tablet A
00:47:40,tablet A
00:47:45,tablet A
00:47:50,tablet A
00:47:55,tablet A
00:48:00,tablet A
00:01:10,Laptop
00:01:15,Laptop
00:01:20,Laptop
00:01:25,Laptop
00:01:50,Laptop
00:01:55,Laptop
00:02:00,Laptop
00:02:05,Laptop
00:02:10,Laptop
00:12:40,Laptop
00:12:45,Laptop
00:12:50,Laptop
00:29:55,Laptop
00:30:00,Laptop
00:30:05,Laptop
00:30:10,Laptop
00:30:15,Laptop
00:30:40,Laptop
00:30:45,Laptop
00:44:05,Laptop
00:44:10,Laptop
00:44:15,Laptop
00:44:20,Laptop
00:44:25,Laptop
00:44:30,Laptop
00:44:35,Laptop
00:44:40,Laptop
00:44:45,Laptop
00:44:50,Laptop
00:44:55,Laptop
00:45:00,Laptop
00:45:05,Laptop
00:45:10,Laptop
00:45:15,Laptop
00:45:20,Laptop
00:45:25,Laptop
00:45:30,Laptop
00:45:35,Laptop
00:45:40,Laptop
00:45:45,Laptop
00:45:50,Laptop
00:45:55,Laptop
00:46:00,Laptop
00:46:05,Laptop
00:46:10,Laptop
00:46:15,Laptop
00:46:20,Laptop
00:46:25,Laptop
00:46:30,Laptop
00:46:35,Laptop
00:46:40,Laptop
00:46:45,Laptop
00:46:50,Laptop
00:46:55,Laptop
00:47:00,Laptop
00:47:05,Laptop
00:47:10,Laptop
00:47:15,Laptop
00:47:20,Laptop
00:47:25,Laptop
00:47:30,Laptop
00:47:35,Laptop
00:47:40,Laptop
00:47:45,Laptop
00:47:50,Laptop
00:47:55,Laptop
00:48:00,Laptop
00:02:15,Large display
00:02:20,Large display
00:02:35,Large display
00:02:40,Large display
00:02:45,Large display
00:02:50,Large display
00:02:55,Large display
00:03:00,Large display
00:03:05,Large display
00:03:30,Large display
00:03:35,Large display
00:04:05,Large display
00:04:10,Large display
00:04:15,Large display
00:04:20,Large display
00:04:25,Large display
00:04:30,Large display
00:04:35,Large display
00:04:40,Large display
00:04:45,Large display
00:04:50,Large display
00:05:15,Large display
00:05:20,Large display
00:05:25,Large display
00:05:30,Large display
00:05:35,Large display
00:05:40,Large display
00:05:45,Large display
00:05:50,Large display
00:05:55,Large display
00:06:00,Large display
00:06:05,Large display
00:06:10,Large display
00:06:15,Large display
00:06:20,Large display
00:06:25,Large display
00:06:30,Large display
00:06:35,Large display
00:06:40,Large display
00:06:45,Large display
00:06:50,Large display
00:06:55,Large display
00:07:00,Large display
00:07:05,Large display
00:07:10,Large display
00:07:15,Large display
00:07:20,Large display
00:07:25,Large display
00:07:30,Large display
00:07:35,Large display
00:07:40,Large display
00:07:45,Large display
00:07:50,Large display
00:07:55,Large display
00:08:00,Large display
00:08:05,Large display
00:08:10,Large display
00:08:15,Large display
00:08:20,Large display
00:08:25,Large display
00:08:30,Large display
00:08:55,Large display
00:09:00,Large display
00:09:05,Large display
00:09:30,Large display
00:09:35,Large display
00:09:40,Large display
00:09:45,Large display
00:09:50,Large display
00:09:55,Large display
00:10:00,Large display
00:10:05,Large display
00:10:10,Large display
00:10:15,Large display
00:10:20,Large display
00:10:25,Large display
00:10:30,Large display
00:10:35,Large display
00:10:40,Large display
00:10:45,Large display
00:10:50,Large display
00:10:55,Large display
00:11:00,Large display
00:11:05,Large display
00:11:10,Large display
00:11:15,Large display
00:11:20,Large display
00:11:25,Large display
00:11:30,Large display
00:11:35,Large display
00:11:40,Large display
00:11:45,Large display
00:12:05,Large display
00:12:10,Large display
00:12:15,Large display
00:12:20,Large display
00:12:25,Large display
00:12:30,Large display
00:12:40,Large display
00:12:45,Large display
00:12:50,Large display
00:13:20,Large display
00:13:25,Large display
00:13:30,Large display
00:13:55,Large display
00:14:00,Large display
00:14:05,Large display
00:14:10,Large display
00:14:15,Large display
00:14:20,Large display
00:16:35,Large display
00:16:40,Large display
00:16:45,Large display
00:16:50,Large display
00:17:05,Large display
00:17:10,Large display
00:17:15,Large display
00:17:20,Large display
00:17:25,Large display
00:17:30,Large display
00:17:35,Large display
00:17:40,Large display
00:17:50,Large display
00:17:55,Large display
00:18:00,Large display
00:18:05,Large display
00:18:10,Large display
00:18:15,Large display
